txt,lbl,prob_positve
lần thứ mua ở shop nên chất_lượng khỏi bàn,1,0.9928063154220581
quan_trọng nhất là shop phục_vụ cực_kì tốt,1,0.9925468564033508
lần này đặt còn được tặng mã giảm_giá nữa,1,0.9074054956436157
ncl mình re com men de d mọi người nên mua nha,1,0.9927781224250793
than k shop ạ iu iu,0,0.04432159662246704
uuu,0,0.0702391266822815
"áo rẻ mà đẹp quá_trời , vải dày_dặn , mặc lên vừa_vặn đẹp lắm luôn",1,0.992952287197113
"shop nói chuyên dễ_thương , shipper giao hàng nhanh chong",1,0.9925884008407593
"cuối_cùng cũng kiếm được một shop bán hàng ưng_ý trên shop e e , sẽ ủng_hộ shop lâu_dài",1,0.9922590851783752
rcm nên mua nha,1,0.6274593472480774
áo ở ngoài xinh hơn trong hình,1,0.988923192024231
sẽ ủng_hộ tiếp sao cho sản_phẩm nha a,1,0.991245448589325
áo siu siu siu siu đẹp lun,1,0.9904940724372864
đã mua nhiều áo của shop mẫu nào cũng ưng,1,0.9926041960716248
siêu thích áo của shop chỉ muốn mua hết các mẫu về mặc shop thì rất thân_thiện còn gửi kèm cả tờ giấy hướng_dẫn siêu đáng yêu,1,0.9929199814796448
chắc_chắn sẽ ủng_hộ shop tiếp,1,0.9914852976799011
quan_trọng nhất là shop phục_vụ cực_kì tốt,1,0.9925468564033508
shop giao hàng siêu nhanh á,1,0.9914945363998413
"đầu_tiên mình thấy orm áo mặc rộng thoải_mái , chất áo thì mịn",1,0.9928056597709656
"giá_thành của áo thì siêu rẻ , săn sa le còn chưa đến k nữa",1,0.9909878373146057
rất đáng để mua nha,1,0.9927493333816528
cảm_ơn shop rất nhiều nha a,1,0.9819430708885193
"ỏ rất xnk đẹp tuỵ t ời nka m n , n ê n mua nè",1,0.9928377270698547
"chất vải cực ổn , hợp với giá tiền , ship cũng tương_đối nhanh ạ tầm ngày là đến_nơi à",1,0.9926579594612122
so với thời_điểm dịch_bệnh như này thì shop giao thế_là quá nhanh rùi í,1,0.9410542249679565
"ủng_hộ shop nè , chúc shop làm_ăn lên như_diều_gặp_gió nka",1,0.9888356328010559
đúng với mô_tả giống hình,1,0.6289681792259216
chất_liệu oke,1,0.9759253263473511
"đẹp ạ , đóng_gói cẩn_thận , quá đẹp so với giá tiền á , shop tư_vấn khéo",1,0.9928932785987854
"cả nhà mua đi đáng đồng_tiền ạ , còn được tặng kèm quà nữ",1,0.9927617907524109
sẽ ủng_hộ tiếp a,1,0.989687979221344
chất_liệu li ke,0,0.08640321344137192
đúng với mô_tả đẹp,1,0.9408416152000427
"túi đẹp , dáng xinh , mãi mới tìm được shop tư_vấn nhiệt_tình , giao hàng n h anh , đóng_gói rất là cẩn_thận nhé",1,0.992935836315155
cho shop sao luôn,1,0.9924903512001038
đúng với mô_tả đẹp như hình,1,0.9682689905166626
"túi đẹp , dáng xinh",1,0.9923967719078064
còn đc tặng chun tóc,1,0.9863271713256836
than k s shop,0,0.07360170781612396
