userid	shopid	itemid	cmtid	mtime	rating_star	comment	product_name	shop_name	shop_rating	avg_rating	rating_count	sold
647305233	740792399	22804647255	10081813698	19-11-2022 19:00:50	5	Lần thứ mua ở shop nên chất lượng khỏi bàn. Quan trọng nhất là shop phục vụ cực kì tốt. Lần này đặt còn được tặng mã giảm giá nữa. Ncl mình recommended mọi người nên mua nha. Thank Shop ạ iu iu. Uuu	Áo Hoodie Form Rộng Unisex Áo gió Teelab buffeshopx, Áo khoác Sweater Chất Nỉ Dày dặn	Buffeshopx	4.644444	5.0	[6, 0, 0, 0, 0, 6]	3450
647289588	740792399	22804647255	10062028355	19-11-2022 12:13:59	5	Áo rẻ mà đẹp quá trời, vải dày dặn, mặc lên vừa vặn đẹp lắm luôn. Shop nói chuyên dễ thương, shipper giao hàng nhanh chong. Cuối cùng cũng kiếm được một shop bán hàng ưng ý trên Shopee, sẽ ủng hộ shop lâu dài. rcm nên mua nha.Áo ở ngoài xinh hơn trong hình.Sẽ ủng hộ tiếp sao cho sản phẩm nhaa	Áo Hoodie Form Rộng Unisex Áo gió Teelab buffeshopx, Áo khoác Sweater Chất Nỉ Dày dặn	Buffeshopx	4.644444	5.0	[6, 0, 0, 0, 0, 6]	3450
772553692	740792399	22804647255	10050230063	19-11-2022 18:10:19	5	Áo siu siu siu siu đẹp lun. Đã mua nhiều áo của shop mẫu nào cũng ưng. Siêu thích áo của shop chỉ muốn mua hết các mẫu về mặc Shop thì rất thân thiện còn gửi kèm cả tờ giấy hướng dẫn siêu đáng yêu. Chắc chắn sẽ ủng hộ shop tiếp.. Quan trọng nhất là shop phục vụ cực kì tốt.	Áo Hoodie Form Rộng Unisex Áo gió Teelab buffeshopx, Áo khoác Sweater Chất Nỉ Dày dặn	Buffeshopx	4.644444	5.0	[6, 0, 0, 0, 0, 6]	3450
647298310	740792399	22804647255	10071566381	16-11-2022 07:37:20	5	Shop giao hàng siêu nhanh á. Đầu tiên mình thấy orm áo mặc rộng thoải mái, chất áo thì mịn. Giá thành của áo thì siêu rẻ, săn sale còn chưa đến k nữa. Rất đáng để mua nha. Cảm ơn shop rất nhiều nhaa..	Áo Hoodie Form Rộng Unisex Áo gió Teelab buffeshopx, Áo khoác Sweater Chất Nỉ Dày dặn	Buffeshopx	4.644444	5.0	[6, 0, 0, 0, 0, 6]	3450
772564218	740792399	22804647255	10033972761	12-11-2022 07:42:45	5	Ỏ rất xnk đẹp tuỵt ời nka mn,nên mua nè.Chất vải cực ổn,hợp với giá tiền,ship cũng tương đối nhanh ạ tầm ngày là đến nơi à.So với thời điểm dịch bệnh như này thì shop giao thế là quá nhanh rùi í.Ủng hộ shop nè, chúc shop làm ăn lên như diều gặp gió nka	Áo Hoodie Form Rộng Unisex Áo gió Teelab buffeshopx, Áo khoác Sweater Chất Nỉ Dày dặn	Buffeshopx	4.644444	5.0	[6, 0, 0, 0, 0, 6]	3450
689292422	23698791	21259649934	10006734646	19-11-2022 15:34:31	5	Đúng với mô tảGiống hình. Chất liệuoke. Đẹp ạ, đóng gói cẩn thận, quá đẹp so với giá tiền á,shop tư vấn khéo. Cả nhà mua đi đáng đồng tiền ạ, còn được tặng kèm quà nữ. Sẽ ủng hộ tiếp a.	Túi nữ đeo chéo túi xách nữ đẹp sang chảnh phong cách trẻ trung sang chảnh dành cho các bạn trẻ TX10	Túi nữ xinh	5.0	5.0	[3, 0, 0, 0, 0, 3]	170
689310590	23698791	21259649934	10007091042	17-11-2022 15:37:05	5	Chất liệuLike. Đúng với mô tảĐẹp. Túi đẹp, dáng xinh, mãi mới tìm được shop tư vấn nhiệt tình, giao hàng nhanh, đóng gói rất là cẩn thận nhé. Cho shop sao luôn.	Túi nữ đeo chéo túi xách nữ đẹp sang chảnh phong cách trẻ trung sang chảnh dành cho các bạn trẻ TX10	Túi nữ xinh	5.0	5.0	[3, 0, 0, 0, 0, 3]	170
689307064	23698791	21259649934	10005016628	17-11-2022 02:18:04	5	Đúng với mô tảĐẹp như hình.. Túi đẹp, dáng xinh. Còn đc tặng chun tóc. Thanks shop. Bên trong vừa được lót sốp vừa dùng túi bóng phồng để giữ orm nên dáng rất ok.	Túi nữ đeo chéo túi xách nữ đẹp sang chảnh phong cách trẻ trung sang chảnh dành cho các bạn trẻ TX10	Túi nữ xinh	5.0	5.0	[3, 0, 0, 0, 0, 3]	170
864779493	34456910	15791396126	9760322666	18-11-2022 08:46:08	5	Màu sắcok. Đúng với mô tảđ. Chất liệuđc. Dép đi êm rẻ nhưng mới đầu có mùi nồng nhưng sài lâu sẽ ht và dép hơi to nhưng giá có k thì k đòi hỏi nhìu	Dép bánh mì nam nữ đế cao 5cm, dép quai ngang chất liệu Eva cao cấp hình GẤU	thanhgau33	4.786014	4.7907692307692304	[975, 17, 9, 27, 55, 867]	1482
680147652	34456910	15791396126	9644524616	17-11-2022 02:30:51	5	Màu sắcđẹp. Đúng với mô tảđúng với miêu tả. Chất liệutốt. Dép đúng đẹp luôn, cáo bạn nên mua, mình sẻ mua thêm hàng ở shop này	Dép bánh mì nam nữ đế cao 5cm, dép quai ngang chất liệu Eva cao cấp hình GẤU	thanhgau33	4.786014	4.7907692307692304	[975, 17, 9, 27, 55, 867]	1482
850950600	34456910	15791396126	9629137704	18-11-2022 07:54:54	5	Chất liệuxốp. Màu sắcđen trắng. Đúng với mô tảtốt. Rất hợp với số tiền	Dép bánh mì nam nữ đế cao 5cm, dép quai ngang chất liệu Eva cao cấp hình GẤU	thanhgau33	4.786014	4.7907692307692304	[975, 17, 9, 27, 55, 867]	1482
390567749	34456910	15791396126	9653817880	16-11-2022 04:54:55	5	Chất liệutốt. Màu sắctrắng. Đúng với mô tảđúng. sản phẩm đẹp đóng gói chắc chắn nhất định sẽ ủng hộ nh lần sau	Dép bánh mì nam nữ đế cao 5cm, dép quai ngang chất liệu Eva cao cấp hình GẤU	thanhgau33	4.786014	4.7907692307692304	[975, 17, 9, 27, 55, 867]	1482
860323000	34456910	15791396126	9572855055	21-09-2022 13:12:18	5	Hình ảnh mang tính chất nhận xu	Dép bánh mì nam nữ đế cao 5cm, dép quai ngang chất liệu Eva cao cấp hình GẤU	thanhgau33	4.786014	4.7907692307692304	[975, 17, 9, 27, 55, 867]	1482
